BaseID,Name,DefaultParams,Description,mana_cost,SkillType,Delivery,targetpermit,effect_list
26,元素冲击,255:225:100,纯粹的无属性元素攻击，穿透敌人的护甲直接给予伤害\n普攻附带\v点无视闪避的魔法伤害,,,,,
27,勇气之霎,128:128:64,在遭受到敌人第一次攻击时会立刻发动一次不会落空的反击\n反击造成伤害的\v%会转化为自身生命,,,,,
28,风暴之锤,a:4,用充满战意的力量对敌人造成致命打击，消耗\v点魔法\n本回合不攻击，造成\v点魔法伤害，并眩晕对方\v回合,,,,,
29,淬毒攻击,a:3,毒素让任何回复手段都变得无力，攻击附加\v点毒素伤害\n第一次命中开始令对手的生命回复变为等额流失,,,,,
30,通灵召唤,a:4,"熟练地召唤出傀儡或是仆从生物为自己而战\n开战前召唤\v ",,,,,
31,混沌一击,a:4,激发起冥冥之中的混沌力量重创敌人，并击碎其盔甲\n\v%概率造成\v倍暴击并降低\v点护甲，第一回合必定暴击,,,,,
32,魔法抗性,a:7,凭借特殊的体质对魔法产生强大的抗性\n减少\v%受到的魔法伤害，之后再减少\v点魔法伤害,,,,,
33,洗礼,255:225:100,当有单位遭遇攻击时予以圣光支援（对亡灵协同只会造成伤害）\n对友方造成\v点治疗并对敌方造成\v点纯粹伤害,,,,,
34,驱逐,255:175:100,当有单位遭遇攻击时予以驱逐支援\n为友方创造一个免疫魔法的保护罩，持续\v回合,,,,,
35,退化光环,255:125:100,神圣的领域，降下神圣的意志令不洁之徒寸步难行\n降低敌人\v%攻速及\v%的闪避率，并使其被动技能无效,,,,,
36,突进,255:0:255,在远处便暴起冲锋，突击毫无防备的对手\n获取先手并眩晕对方\v回合，战斗开始前发动且不占用回合数。,,,,,
37,盛宴,255:0:255,[txt]没人能够抵挡血肉盛宴的诱惑\n每次攻击必定附加敌人最大生命值\v%的物理伤害\n该部分伤害无视闪避，且造成的伤害用于治疗自身,,,,,
38,重生,125:125:125,"跌倒，再爬起，以崭新的姿态面对敌人的冲锋。\n死后重生为\v ",,,,,
39,持盾冲击,255:0:255,激发先锋盾上的神秘力量并重击身前的敌人，消耗12点魔法\n对敌人造成自身护甲*25点魔法伤害，并眩晕一回合,,,,,
40,重音击,128:64:64,似乎是某种奥义的劣化版本\n本回合不攻击，造成地图上存在的事物个数*\v的魔法伤害,,,,,
41,惑幻,255:0:255,复制自身，创造出不会施放主动技能的幻象消灭敌人\n创造\v个普攻造成\v%伤害并受到\v%伤害的幻象,,,,,
42,猎手天赋,192:124:124,猎手不会放过其所发现的每一次战斗契机\n若直线视野内有友军遭到攻击，则前往支援并协同作战,,,,,
43,轰雷,0:180:200,凝聚大量雷电力量，化作一道晴天霹雳\n雷电落下造成\v点魔法伤害并使敌人麻痹，\v回合内无法攻击,,,,,
44,法力燃烧,22:22:184,[txt]提取敌人体内的魔力并将其付之一炬\n削除敌人\v魔法，若魔法不足则造成缺失部分\v倍的魔法伤害\n多重强化：将被燃烧的法力值乘同上倍数的一半转化为前排友军生命,,,,,
45,腐蚀皮肤,64:255:64,完全由剧毒物质构成的皮肤将人彻底侵染\n减少\v%的伤害，并降低对手\v%的攻速及\v点护甲,,,,,
46,龙裔血脉,200:100:100,龙裔生物特有的坚实鳞甲及自我恢复能力\n减少\v%伤害，同时每回合恢复初始生命值\v%的生命,,,,,
47,诅咒,128:0:128,向敌人施加最为可怕的诅咒，令它变得更加脆弱\n持续\v回合的诅咒，每回合附加\v+该回合损血\v%的魔法伤害,,,,,
48,幽冥剧毒,128:0:128,向敌人喷吐一团剧毒液体，使其饱受毒素的折磨\n造成\v点毒素伤害并令对手每回合流失\v生命（永久，可叠加）,,,,,
49,倒影,0:160:180,[txt]映射出敌人的黑暗面，将其具现化\n创造一个与敌人状态完全一样的倒影，不继承主动被动效果\n冒险及初心难度下倒影血量减半,,,,,
50,灵魂支配Lv1,128:128:64,[txt]Lv1:收集弱小者的灵魂，构筑自己强大的躯体\n每击杀一个敌人都能获得一点能量，最大\v点，每点能量增加\v攻击,,,,,
51,毁灭阴影Lv1|1.5,128:128:64,[txt]Lv1:对最多3个敌人造成\v点魔法伤害，消耗\v点魔法与\v点灵魂\n若先手且在第一回合使用，则会在一回合内使用三次本技能\n本回合不攻击，多次使用消耗多次魔法，但灵魂只消耗一次,,,,,
52,阻激,128:128:64,使用强大魔力将敌人隔绝开来并予以重创\n与敌人接近时后退一格并造成\v点魔法伤害,,,,,
53,夹击,128:128:64,[txt]两名同胞联手使用强大魔力发起攻击。玩家经过两个拥有该\n技能的敌人中间时会损失\v%当前生命值，如果玩家没有使用\n任何技能，则移除的生命不会高于二者伤害的平均值\n二者夹击技能扣除比例不同的情况下不会发动,,,,,
54,模糊,a:7,[txt]魅影之纱，模糊不清\n有\v%概率闪避敌人的攻击，且无法成为单体技能的目标\n第一回合必定闪避,,,,,
55,幽魂形态,a:7,飘渺如烟的生命形态，游走于虚实之间\n免疫一切物理伤害，但会受到更多的魔法伤害,,,,,
56,持盾猛击,255:0:255,[txt]激发先锋盾上的神秘力量并重击身前的敌人，消耗25点魔法\n对敌人造成自身护甲*35点魔法伤害，并眩晕一回合\n本技能不占用当前回合技能释放时机,,,,,
57,能量冲击Lv1|5,255:0:255,[txt]Lv1:从法杖的尖端发射出致命的能量重创敌人\n对单个敌人造成\v{5000}点魔法伤害，消耗30点魔法\n本技能不占用当前回合技能释放时机,,,,,
58,烈火精灵,a:12,连续\v回合每回合召唤一只烈火精灵灼伤对手\n烈火精灵造成\v点魔法伤害并降低\v%攻速，持续4回合,,,,,
59,警戒,255:0:255,时刻警戒四周，一旦遇敌便立即呼叫友军协同作战\n召唤横纵坐标差之和\v格以内的怪物，且必须存在可支援路径,,,,,
60,嗜血术,255:55:55,给一个友军(包括自身)加持嗜血术，直到所有友军拥有此效果\n施放回合不会攻击，增加目标\v%攻速与\v%的吸血,,,,,
61,火焰爆轰,a:12,[txt]本回合不攻击，施展出爆炸性的火焰毁灭敌人\n造成\v点魔法伤害及\v回合的眩晕\n多重强化：火焰爆轰的伤害递增20%,,,,,
62,引燃,a:2,丢出化学物质点燃对手，使敌人被火焰所吞噬\n每回合造成\v点魔法伤害，期间降低\v%攻速，持续\v回合,,,,,
63,多重施法,50:255;240,对魔法本质的精通使得施法变得更加容易起来\n任何主动技能都会在同一回合内施展\v次，并引发多重强化,,,,,
64,小队作战,a:11,"充分发挥群体作战的能力，以小队形式与敌人战斗\n小队包括\v ",,,,,
65,超新星,255:15:15,[txt]从烈焰中，永生的凤吟将再一次升起，死后化为超新星\n每回合造成\v点纯粹伤害，需要攻击\v次才能击破，若未能\n在\v回合内击破，则会在切换地图后重生且无法获得经验金钱\n只计算正常一回合普攻次数，无视装备或技能的额外攻击次数,,,,,
66,特殊保护,,只会受到普攻伤害且单次伤害最高1点,,,,,
67,绝望光环,255:125:100,[txt]粉碎护甲与魔抗，令敌人变得脆弱不堪\n扣除敌人\v%的护甲并降低\v%魔法抗性\n初心难度下效果减半,,,,,
68,生命吸取,a:9,从鲜血中汲取力量，将敌人的生机吸食殆尽\n造成的普攻伤害会吸取\v%治疗自身,,,,,
69,伤残恐惧,128:128:64,在敌人头脑中植入扭曲深渊的幻象，令其恐惧\n使敌人攻击有\v%概率落空，且受到沉默效果，持续\v回合,,,,,
70,破甲熔炎,255:0:0,攻击附带有魔力，熔化敌人的盔甲\n每次攻击降低敌人\v点护甲，最大减甲\v点,,,,,
71,复仇光环,255:125:100,[txt]被消灭者将以亡者的姿态重新站起，吹响复仇的号角\n将地图上死去的怪物（包括自身）复活为：\v\n不会复活多个敌人组成的小队，且复活后无法被神圣劝化,,,,,
72,剑舞,a:4,[txt]刀剑挥舞之中爆发出超越自身极限的力量\n攻击时\v%概率爆发出\v倍攻击力。第一回合必定触发，但会\n额外受到等同于目标防御力的格挡效果,,,,,
73,毁灭阴影Lv2|3,128:128:64,[txt]Lv2:对最多3个敌人造成\v点魔法伤害并降低\v点护甲\n消耗\v点魔法与\v点灵魂，多次使用规则同LV1\n本回合不攻击，多次使用消耗多次魔法，但灵魂只消耗一次,,,,,
74,灵魂支配Lv2,128:128:64,[txt]Lv2:收集弱小者的灵魂，构筑自己强大的躯体\n每击杀一个敌人都能获得一点能量，最大\v点，每点能量\n增加\v攻击与\v点生命上限,,,,,
75,反击,200:100:100,以近乎于本能的反应速度灵活进行攻守转换\n每次受到攻击时都会立刻反击敌人(不会落空）,,,,,
76,守护天使,255:225:100,[txt]本回合不攻击，召唤圣光引领守护天使降临\n\v回合内我方全体物理免疫且每回合恢复释放者\v%当前生命值的生命\n若拥有洗礼技能则会一并同时对所有己方单位释放,,,,,
77,恶念瞥视,0:180:200,发动魔力驱逐敌人，\v回合后将玩家传回到\v步之前的位置\n若在传回前自身未被消灭则会中止战斗并回满生命,,,,,
78,法力损毁,205:0:255,引爆魔法的不稳定性，令施法者受到伤害\n每次攻击损毁目标最多\v点魔法，并附加\v倍的物理伤害,,,,,
79,法力虚空,255:0:205,[txt]创造出魔力不稳定区域，引发法力虚空\n造成\v回合眩晕并根据敌人已损失的法力值造成\v倍的纯粹伤害\n本技能会在上次使用技能\v回合后释放,,,,,
80,伪无敌斩,255:205:100,[txt]似乎是某种奥义的劣化版，进行\v回合蓄力，期间不能行动\n在一回合内连续斩出\v剑，无视闪避且必定触发剑舞和暴击效果\n若中途被打断则无法再次蓄力,,,,,
81,魔法反制,a:4,感应敌人的魔力波动，在施法的关键时刻一瞬反击\n受到技能效果时会对施法者造成\v点魔法伤害并将其净化,,,,,
82,攻击反噬,200:125:125,任何胆敢攻击被诅咒者的生物都将堕入相同的诅咒地狱之中\n受到任何普攻伤害都会立刻反弹对手\v%的魔法伤害,,,,,
83,勇气之霎,128:128:64,每回合受到攻击时有\v%几率发动一次不会落空的反击\n反击造成伤害的\v%会转化为自身生命,,,,,
84,死亡,255:70:155,[txt]引爆敌人的灵魂，令其饱尝死之痛苦\n本回合不攻击，造成\v点魔法伤害，若敌人战前生命为\n\v的倍数，则附加敌人最大生命\v%的魔法伤害\n倍数尾数包括0时，忽略生命值与尾数0数目相等的尾数部分,,,,,
85,爆破人形Lv1|2,a:1,[txt]Lv1:丢出一个代替玩家承受伤害的人偶置于战场上，消耗\v点魔法\n人偶最多持续\v回合，能够承受\v点伤害\n人偶被消灭会爆炸，对所有敌人造成承受伤害\v%的魔法伤害,,,,,
86,暗夜猎影,0:0:80,[txt]黑夜中散发着致命气息的猎手伺机而动\n在黑暗环境下，提升自身\v%攻击、\v%攻速与\v%的闪避率，\n同时获取先手，令处于伤残恐惧效果中的敌人额外受到\v%普攻伤害,,,,,
87,霜冻护甲,a:1,[txt]给一个友军(包括自身)加持霜冻护甲，直到所有友军拥有此效果  \n施放回合不攻击，增加目标\v点护甲\n任何敌人攻击目标时都将临时减少\v%的攻速,,,,,
88,冰霜新星,a:4,本回合不攻击，制造一个持续\v回合的冰霜新星冻结对手\n初始造成\v点魔法伤害，之后降低其\v%攻速与\v%闪避,,,,,
89,冰封禁制,a:4,本回合不攻击，招来寒风将敌人冰封，持续\v回合\n期间目标无法攻击，无法闪避，且每回合受到\v点魔法伤害,,,,,
90,极寒之触,a:4,操控极寒之力，接下来\v回合内获得攻击特效\n每次攻击额外造成\v点魔法伤害并降低敌人\v%攻速,,,,,
91,精气光环,255:0:255,殁境的水晶散发出能量，令奥术重新产生活力\n友军在所有主动技能施放完毕后会再次按列表施放，最多\v轮,,,,,
92,奥术光环,a:4,释放出奥术精华，加剧天地间魔力的波动程度\n增加全地图所有友军\v%的魔法伤害（多个光环效果可叠加）,,,,,
93,极寒领域,0:85:255,[txt]寒冰风暴即将来临。进行\v回合持续施法，期间不能行动\n期间敌人攻速降低\v%并且每回合受到\v点魔法伤害\n若中途被打断则受到反噬，接下来\v回合之内无法行动,,,,,
94,掘地穿刺,180:50:50,潜藏于地表之下突袭对手，战斗开始前发动且不占用回合数\n获取先手并眩晕对方\v回合，穿刺造成\v点魔法伤害,,,,,
95,灵魂汲取,125:0:55,汝之灵魂，吾之食粮。痛苦吧，哀嚎吧！\n吸取敌人\v点灵魂，若灵魂不足则造成致死效果。,,,,,
96,阎刃,155:85:0,来自地狱的火焰，灼烧并审判一切懦弱的灵魂\n攻击额外造成\v+\v%敌人生命上限的魔法伤害,,,,,
97,严寒灼烧,0:75:185,喷吐出一口寒冷的龙炎，持续烧灼对手\n\v回合内每回合的攻击都会使对方被灼烧，损失\v%当前生命,,,,,
98,寒冬诅咒,155:0:155,[txt]古老的真相：我的敌人的敌人还是我的敌人\n令敌人处于癫狂诅咒之中，攻速提升一倍，疯狂自我伤害\n持续\v回合，自我攻击不会触发除暴击外任何装备特效,,,,,
99,镜像,255:55:205,完美复制对手的一切信息\n这个生物的初始攻击力与防御力始终与敌人保持相同,,,,,
100,神力图腾,a:2,远古的图腾力量在此展现神威\n增加以自身为中心\v*\v范围内所有友军\v%的攻击力（可叠加）,,,,,
101,守护图腾,a:1,远古的图腾力量在此展现神威\n增加以自身为中心\v*\v范围内所有友军\v%的防御力（可叠加）,,,,,
102,治愈图腾,a:3,[txt]远古的图腾力量在此展现神威\n令以自身为中心\v*\v范围内所有友军每回合恢复\v%初始生命值\n的血量（可叠加）,,,,,
103,破甲光环,a:4,远程打击令敌人失去抵挡之力\n以自身为中心\v*\v范围内所有友军攻击附带\v点护甲穿透（不可叠加）,,,,,
104,狂战士之血,a:9,[txt]越是遍体鳞伤，越是战力无双，以牙还牙，血战到底！\n每损失1%血量，便提升自身\v%攻速和\v%攻击力\n自身攻击附带\v%吸血。狂战士从来都是独自战斗,,,,,
105,致命射击,255:50:200,[txt]精准射击的上位版本，拥有更恐怖的威力\n当目标处于其可见直线上时每一步都能发动一回合普攻\n射击无视闪避，并具有\v%的护甲穿透效果,,,,,
106,阳炎之索,255:75:25,阳炎之火汇聚而成的绳索将敌人死死束缚\n令敌人无法攻击和闪避，每回合受到\v点魔法伤害，持续\v回合,,,,,
107,无影拳,135:255:35,武技之巅峰，招招无影无形，令人难以防备\n自身初始攻速为敌人攻速的\v倍，且攻击无视闪避,,,,,
108,火焰壁垒,a:12,[txt]用火焰将自己包裹起来持续烧灼敌人，每回合造成\v点魔法伤害\n召唤出能够吸收\v点魔法伤害的壁垒，达到上限后会破碎\n破碎后将不再造成烧灼伤害。壁垒只吸收魔法伤害,,,,,
109,魔王降临Lv1,128:128:64,[txt]Lv1:无数灵魂在魔王的震慑之下臣服，将怨恨发泄在其他生灵身上\n与奈文摩尔战斗的敌人都将因恐惧而降低自身\v点护甲,,,,,
110,风之守护,a:3,[txt]召唤轻盈之风的力量守护己方\n令以自身为中心\v*\v范围内所有友军受到风之守护效果\n风之守护提升\v%攻速和\v%闪避率（可叠加）,,,,,
111,风漩,a:3,[txt]制造持续\v回合的风漩将敌人牵引，期间无法闪避和施放技能\n风漩会在结束后产生风之爆炸，造成\v点巨额魔法伤害\n若施法者死亡，风漩则会立刻消失,,,,,
112,沙尘暴,180:80:50,[txt]弥漫的黄沙下潜伏着恐怖的杀机，沙尘使自身隐形不可见\n距离\v以内的地区被沙尘暴覆盖，行走在其中会受到\v点魔法伤害\n若当前血量低于战斗伤害而经过该区域，那么则会触发战斗,,,,,
113,野性掠夺,205:50:255,[txt]掠夺者从来不介意将敌人的力量尽数掠夺\n第一次命中时偷取对手\v%攻速及\v%基础攻击力\n无法影响已经处于被掠夺效果的敌人,,,,,
114,潜影,a:7,你永远都不知道利刃什么时候抵在了你的后颈上\n保持隐身，在敌人经过临近四格时会显形突袭，获取绝对先手,,,,,
115,暗杀,255:0:50,从阴影中现身，给予对方毁灭性的打击\n若战斗时处于先手状态，则额外造成一回合\v倍攻击力的攻击,,,,,
116,决斗,a:11,[txt]强制与对方决斗\v回合，期间禁用主动技能且无法闪避\n决斗结束时若双方仍存活，则期间损失生命占初始生命的百\n分比较少者获胜，发起者若决斗胜利，那么将在接下来提升\n\v%攻击力和\v%攻速,,,,,
117,超负荷,55:85:255,超负荷使用自身魔力，使得每次施法时都会造成一次额外的魔法伤害\n初始伤害为\v，每次施法伤害量递增\v%,,,,,
118,飓风,a:4,[txt]制造席卷周围一切的飓风，需要持续施法\n飓风每回合造成\v魔法伤害，并使敌人攻速下降\v%\n且无法闪避。持续施法可以被打断,,,,,
119,腐尸毒,0:185:0,[txt]腐朽的毒素从心脏开始蔓延至全身\n每次攻击额外造成\v毒素伤害，第一次命中开始\n对手额外受到\v%的物理伤害，并减少\v%攻速,,,,,
120,地震,180:80:50,[txt]进行\v回合蓄力，期间不能行动，蓄力成功后连续\v回合产生地震波\n期间敌人降低\v%攻速且无法闪避，地震波造成\v点魔法伤害\n若受到该次地震波影响，则会使下次地震波的伤害提升\v%,,,,,
121,能量冲击Lv2|8,255:0:255,[txt]Lv2:从法杖的尖端发射出致命的能量重创敌人\n对单个敌人造成\v{50000}点魔法伤害，消耗50点魔法\n本技能不占用当前回合技能释放时机,,,,,
122,爆破人形Lv2|5,a:1,[txt]Lv2:丢出一个代替玩家承受伤害的人偶置于战场上，消耗\v点魔法\n人偶最多持续\v回合，能够承受\v点伤害\n人偶被消灭会爆炸，对所有敌人造成承受伤害\v%的魔法伤害,,,,,
123,幽魂形态,a:7,无需消耗魔法，使用后接下来4回合内进入幽魂形态\n期间无法攻击，也无法被攻击，且会额外受到100%魔法伤害,,,,,
124,赤红之怒,255:0:255,[txt]瞬发技能，瞬间爆发出赤红甲的力量，消耗50点魔法\n对所有敌人造成护甲*500的魔法伤害及1回合的眩晕，并将造成的\n实际伤害的50%转化为自身生命，之后5回合内伤害格挡效果翻倍,,,,,
125,沟壑,128:128:64,[txt]利用土元素魔法震撼大地，改变地貌\n造成\v点魔法伤害及\v回合眩晕，使对方身后一格变为沟壑地形\n这个沟壑无法被任何手段消除，拥有该技能后免疫弹射,,,,,
126,电磁脉冲,255:0:255,[txt]席美尔的精华脉冲，恩多利昂的恶之混动\n\v回合后爆发电磁脉冲，造成\v点魔法伤害并烧毁敌人魔力\n法力燃烧最大\v点，会被敌人魔抗的百分比部分抵挡,,,,,
127,超震声波,a:4,[txt]布鲁冯特之无力声波\n发射超声波震击敌人，令其受到\v点魔法伤害并击退\v回合\n击退令敌人无法行动，击退效果无视魔法免疫,,,,,
128,荆棘光环,50:255:55,尖刺荆棘，以牙还牙。以自身为中心\v*\v范围内所有友军\n反弹\v%的普攻伤害。\n伤害类型为物理，光环不叠加,,,,,
129,极速神符,255:0:0,获得极速状态，攻击速度3倍，闪避率+35%\n神符效果持续5场战斗,,,,,
130,奥术神符,255:0:255,增强奥术力量，所有魔法伤害+60%，所有魔法消耗-40%\n神符效果持续7场战斗,,,,,
131,双倍神符,0:0:255,提升自身伤害，普攻造成的物理伤害翻倍\n神符效果持续5场战斗,,,,,
132,恢复神符,0:255:0,进入恢复状态，每场战斗恢复自身10%的生命与10%的魔法\n神符效果持续15场战斗，战斗时受到伤害会立刻中断,,,,,
133,霜冻光环,50:50:255,寒冷中逐渐停滞的脚步。\n以自身为中心\v*\v范围内所有敌人都会被降低\n\v%攻速与\v%闪避(不叠加),,,,,
134,神龙摆尾,155:0:155,使用盾牌狠狠撞击面前的敌人\n造成\v回合的眩晕，并在之后\v回合内受到的物理伤害减少\v%,,,,,
135,结阵作战,255:0:155,"以阵法构筑特殊战阵\n每存在一名成员，单个成员血量攻击防御便提升\v%，\v%，\v%\n小队包括\v ",,,,,
136,血战誓约,a:2,战士永远都会战至最后一滴血\n以自身为中心\v*\v范围内所有友军获得[反击]技能和\v%吸血,,,,,
137,绝对净化,a:4,[txt]使用驱散之力将敌人彻底净化\n驱除其所有有利状态（包括神符），并消灭其拥有的全部召唤物\n本技能不占用当前回合技能释放时机,,,,,
138,神圣劝化,a:4,[txt]将同一地图内最近一个被击败的友军进行劝化并使其参与战斗\n被劝化者保留\v%生命、\v%攻击和\v%防御，且无经验金钱\n劝化后会保留绝大部分技能，包括光环，但是无法劝化小队、\n君王阶位以及自己本身，当前被劝化者为:\k\n,,,,,
139,反击螺旋,a:11,每次受到攻击时都会进行反击，造成\v点物理伤害\n不属于普攻，即便处于被缴械状态依然能触发,,,,,
140,狂战怒吼,a:12,[txt]以狂战士的怒吼声同时激起双方的战意\n\v回合内强迫对方攻击自己，无法施法\n期间对方攻速提升为\v倍，自身护甲提升为\v倍,,,,,
141,灵魂猎手,125:0:55,[txt]这个可怕的生物无时无刻不在撕扯着对手的灵魂\n每回合攻击都会吸取\v点灵魂，并转化为自身生命\n每点灵魂能够恢复自身最大生命值\v%的生命\n目标灵魂不足时会受到致死伤害,,,,,
142,毒素烙印,a:3,[txt]任何成功的毒素类主动技能都会令敌人身上增加\v层毒素烙印\n每层烙印提升10%原有的毒素伤害和生命流失效果\n本次增加的烙印层数将在本次战斗结束后生效,,,,,
143,致命链接,a:7,[txt]将敌人与当前被攻击友军的灵魂链接，持续\v回合，二者中\n任何一个生命下降时都会使对方受到\v%的纯粹伤害\n链接本身无视魔免，对链接者造成的纯粹伤害每回合不会超\n过链接者生命上限的50%,,,,,
144,竭心光环,255:70:125,在以自身为中心\v*\v范围内战斗的敌人都将受到影响\n使敌人在战斗中额外失去\v%生命上限的生命与\v点灵魂,,,,,
145,强力击,88:255:88,[txt]经过\v回合蓄力后射出强力的箭矢，造成\v点魔法伤害\n每次有敌人进入可见直线范围内时都能立即发动一次，且与目标距离\n每多一格便提升\v%的伤害。战斗时发动恒定造成\v%伤害,,,,,
146,风行,205:205:50,风之力量环绕周身，\v回合内受到风之力量的影响\n持续期间内100%闪避普攻且提升自身\v%的攻速,,,,,
147,寄生种子,0:255:0,[txt]向敌人体内投射一枚蕴含生命能量的寄生种子，持续\v回合\n寄生种子每回合吸取敌人\v点生命并用于治疗所有友军\n亡灵类怪物只会受到伤害，且受到的吸取效果加倍,,,,,
148,活体护甲,180:50:50,[txt]为友军创造活体护甲提供保护（不会选择已有活体护甲者为目标）\n活体护甲持续\v回合，期间提升目标\v点护甲和\v点伤害格挡\n活体护甲每回合恢复目标\v%最大生命值的生命,,,,,
149,固定生命恢复,,,,,,,
150,神圣霜冻光环,a:1,[txt]神圣霜冻令敌人步履蹒跚。光环降低所有敌人(自身智力50%)%\n的攻速，并提高(自身智力2%)点护甲及25%魔法回复速度,,,,,
151,冰晶爆破Lv1|8,a:1,[txt]瞬发技能，消耗120点魔法，仅限第一回合使用且无法多重施法\n对所有敌人造成\v{120000}点魔法伤害，之后8回合内持续受到影响\n受影响者持续期间内无法回复生命，当生命少于10%时直接死亡,,,,,
152,妖术,a:1,[txt]瞬发技能，消耗50点魔法，将敌人变为无法战斗的小动物\n令目标在3回合内无法攻击、施法且大部分被动失效\n若目标为幻象，则会直接将其消灭。无法被多重施法,,,,,
153,不朽之力,a:7,[txt]这个生物长期受到不朽气息的影响，变得更为强大\n获得额外\v%魔法与物理抗性，并每回合回复\v点生命\n不朽之力使其每次普攻都能额外造成\v点魔法伤害,,,,,
154,幽冥之触,0:155:0,[txt]被剧毒所浸染的生物每一次接触都是致命的后果\n每次攻击都会造成额外\v点毒素伤害并附加\v点幽冥剧毒效果,,,,,
155,冰结之域,0:120:255,[txt][传奇奥义]冰结领域所经之处，万物永恒冰封\n以自身为中心\v*\v范围内道具无法被拾取，门则要双倍的钥匙才能打开\n领域会对进入范围的敌人每一步造成\v点魔法伤害,,,,,
156,禁魔光环,0:0:155,[txt]施法者被恐惧所笼罩，世界突然间安静了下来\n当前地图内所有战斗时的魔法回复都会乘\v%后变为等额流失\n受光环影响技能施放所需的魔法增加\v%（可叠加）,,,,,
157,军团作战,0:155:255,[txt]由大量单位构成部队展开作战\n整体造成的普攻伤害为个体的\v倍，当攻击或防御小于玩家攻击\n或防御时，则会增加攻击或防御差距\v%的对应属性,,,,,
